vhicle_class,vhicle_deta,year,make,model,engine,category,subcategory,application,product_type,part,comments
Refrigeration Units,Refrigeration Units,All,Thermo King,NWD 35 AM8,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,NWD 35 M21,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,NWD 35 M4,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,NWD 35 M5,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,NWD 50,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,NWD 50 3000,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,NWD 50 3011,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,NWD 50 3100 Series,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,NWD 50 M207,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,NWD 62,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,NWD 62 30M5,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,NWD 62 50,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,NWD 622 30M10A,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,NWD-AM1,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,NWD-AM3,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,NWD-AM4,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,NWD-AM8,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,NWE MAX,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,NWG,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,RCD,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,RD-I 30,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,RD-I 50,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,RD-I SSIV,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,RD-II,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,RL,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,RL 20,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,RL 50,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,RLA,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,RLD,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,ROL 30,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,ROL 40,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,ROL 50,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,RT,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,S-600,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,SB-190,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,SB-I 1000,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,SB-I 1200,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,SB-I 2000,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,SB-I 30,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,SB-I 50,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,SB-I 5300,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,SB-II 30,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,SB-II 30 1500 AC,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,SB-II 30 1500 PEG,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,SB-II 30 DELTA,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,SB-II 30 PEG,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,SB-II 50,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,SB-II 50 TC,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,SB-II C201,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,SB-II Convertible,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,SB-II HP,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,SB-II Max 30,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,SB-II Max 50 EEC,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,SB-II Max Plus,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,SB-II PE,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,SB-II Reverse Air,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,SB-II TC,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,SB-II Tracker,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,SB-II di,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,SB-III 30 TC,All,Na,Na,Na,Na,Na,Na
